Estación,Transecta,Fecha,Hora,Latitud,Longitud,Copépodos,Salpas,Anfípodos,Apendicularias,Cladóceros,Ctenóforos,Eufáusidos,Foraminíferos,Doliólidos,Misidáceos,Medusas,Ostrácodos,Pterópodos ,Quetognatos,Sifonóforos,Tomoptéridos,Calyptopis,Cumáceos,Furcilias,Estomatópodos,Nauplius,Larvas de Munididae,Paralarvas,Huevos de invertebrados,Huevos de peces,Larvas bivalvos,Larva cifonauta,Larva cipris,Larvas de gastrópodos,Larvas de peces,Larvas de poliquetos, Larva ophiopluteus,Megalopas,Zoeas
1,2,1/6/2016,0:10,3250,7134.8,351.0,13.0,1.5,6.7,,1.2,4.9,1.1,1.5,0.1,1.1,0.9,0.4,8.9,1.6,0.6,2.3,2.0,1.3,,0.3,,,,1.8,,,,0.6,0.3,1.0,,0.6,2.3
2,1,1/6/2016,2:25,3240,7129.2,661.0,19.7,3.6,1.3,,0.4,31.5,,0.4,2.3,0.2,1.5,,4.4,,0.2,3.6,0.9,2.7,,,,,8.7,3.2,,,,0.6,0.6,,,8.0,20.5
3,1,1/6/2016,3:50,3240,7135.3,24.7,1.8,0.8,1.3,,,0.9,,0.1,,0.1,1.0,0.2,1.3,1.1,0.1,0.1,0.3,0.2,,,,,,0.1,,,,0.0,0.1,0.1,,0.1,0.2
4,1,1/6/2016,5:45,3240,7140.9,130.1,47.5,1.6,6.8,,0.3,2.0,,,0.1,0.1,1.1,0.3,3.4,2.7,0.3,0.6,,0.6,,,,,0.3,,,,0.1,0.3,0.1,1.3,,0.1,0.6
5,3,1/6/2016,22:30,3300,7133.9,1955.3,62.3,4.3,18.4,,3.5,5.7,0.4,3.5,2.5,0.4,0.4,,2.5,,,10.6,,5.7,,,,,1.1,1.1,,,1.8,1.1,,2.1,,1.1,23.4
6,3,1/6/2016,23:45,3300,7140.2,138.4,57.4,2.3,27.0,,0.4,5.2,0.1,,,1.0,2.0,0.1,5.6,2.0,1.0,4.9,,0.4,,1.4,,,0.8,0.1,0.1,,0.1,0.4,0.3,0.4,,0.4,1.1
7,3,1/7/2016,1:40,3300,7150,36.9,12.2,1.5,0.3,,,1.6,0.1,,,0.2,1.7,,2.9,2.9,0.1,0.6,,0.4,0.1,0.1,,,0.5,,,,,0.4,0.2,0.1,,,0.2
9,4,1/7/2016,6:10,3310,7144.2,89.6,34.9,1.0,7.6,,,1.9,0.2,,,0.9,0.7,0.6,2.5,3.2,0.9,3.3,,0.8,,0.1,,,,0.2,,0.1,0.2,,0.2,0.6,,0.2,0.1
10,5,1/7/2016,23:05,3320,7142.9,368.0,96.6,4.6,31.0,,3.4,15.8,1.1,,,2.6,1.4,0.3,9.2,,,10.1,0.3,10.3,1.1,,,,,0.9,,0.6,,,,,,0.3,7.5
11,5,1/8/2016,1:45,3320,7148.9,77.9,78.5,0.6,20.2,,0.6,1.2,0.4,0.6,,0.7,0.9,,1.2,3.5,0.4,1.7,,0.7,,0.6,,,0.6,0.6,,,,0.3,0.9,0.1,,,0.9
12,5,1/8/2016,2:55,3320,7155.5,51.8,20.7,1.9,3.5,,0.4,2.2,0.3,1.0,,2.4,1.2,1.2,,5.8,,8.2,,1.7,,,,,0.3,,,0.1,,0.3,,0.6,,,0.3
13,6,1/8/2016,5:00,3330,7141,239.0,339.5,1.4,31.3,,1.2,5.6,,,,4.9,0.6,0.6,3.3,,0.2,4.3,0.2,0.4,,1.2,,,,0.2,,0.4,0.6,,2.9,0.4,0.2,,16.1
14,7,1/8/2016,23:50,3340,7142.6,438.9,412.1,4.3,64.9,,2.4,3.3,3.8,,1.9,3.8,0.5,1.9,15.3,7.6,,42.9,,2.4,,2.4,,,6.2,152.6,,0.5,1.0,2.4,1.4,1.0,,,10.0
15,7,1/9/2016,1:00,3340,7141,37.9,9.9,0.3,11.0,,0.3,0.6,0.5,,0.1,0.1,0.2,0.4,1.4,3.9,0.0,2.1,,0.3,,0.4,,,0.1,0.1,,,,0.4,0.2,0.3,,0.0,0.5
16,7,1/9/2016,2:00,3340,7153.4,84.0,8.0,0.6,12.0,,,0.6,0.8,,0.2,0.2,0.9,0.8,1.1,5.1,,1.1,0.1,0.4,,0.5,0.1,,2.6,0.2,,0.1,,1.2,0.1,0.3,,0.1,0.3
17,7,1/9/2016,4:05,3340,7204.2,161.6,46.6,2.3,31.9,,0.3,4.4,0.9,0.6,0.1,0.7,0.9,1.3,5.7,5.7,0.6,0.6,,2.0,,0.9,,,0.1,0.1,,0.1,,,0.4,0.1,,0.1,0.6
18,8,1/9/2016,6:05,3350,7155.7,162.7,95.7,0.2,21.1,,9.6,,2.2,1.9,45.9,0.7,0.2,,3.8,55.5,,3.8,3.8,5.7,,0.7,,,,6.2,,0.5,1.2,0.7,2.2,0.2,1.9,,7.7
19,10,1/9/2016,23:30,3410,7202.3,163.4,77.7,1.4,27.8,,0.8,3.2,0.6,0.2,,0.8,0.4,1.4,4.0,4.0,0.6,0.4,,1.0,,0.2,,,1.2,0.2,,,,,0.2,1.0,,,2.2
20,9,1/9/2016,1:40,3400,7156.5,196.9,63.0,2.5,40.5,,3.4,6.2,1.7,1.4,0.3,0.8,0.6,0.6,3.4,3.4,,2.3,,3.4,,,,,,0.3,,0.6,0.8,0.8,5.3,5.3,,0.6,1.4
21,9,1/10/2016,3:05,3400,7201,148.8,117.4,0.9,48.3,,1.1,8.2,0.5,,0.2,0.2,0.9,0.2,5.0,4.4,1.3,1.4,,1.4,,0.5,,,0.5,0.5,,,0.2,0.6,2.0,0.8,,0.2,1.4
22,9,1/10/2016,4:15,3400,7207.7,125.8,78.3,1.0,15.7,,0.3,2.2,0.1,,0.1,0.6,1.3,0.3,4.6,1.2,0.4,0.4,,0.1,,,,,,0.4,,,,0.3,,0.9,,,1.0
23,9,1/10/2016,5:25,3400,7214.9,26.9,19.1,1.0,1.4,,0.0,1.2,0.6,,,0.3,1.1,0.8,1.1,6.6,0.1,0.0,,0.2,,,,,0.8,0.0,,,,0.1,0.1,0.1,,,0.5
24,13,1/10/2016,22:55,3440,7215.7,98.7,77.1,0.1,10.2,,0.4,0.4,0.4,,0.1,1.1,1.0,0.3,4.0,9.6,0.1,1.0,,,,,,,,,,,,,0.3,0.9,,0.1,0.7
25,13,1/10/2016,23:20,3440,7210,78.0,66.5,1.0,27.0,,0.6,5.2,,,,1.7,1.3,0.1,4.6,,0.4,0.9,,0.6,0.1,0.1,,,0.1,,,,,0.1,0.1,1.7,,0.4,1.4
26,13,1/11/2016,0:25,3440,7205.1,131.9,133.1,3.4,29.6,,2.3,10.0,0.3,,,2.8,0.9,0.9,8.0,,,0.9,0.6,2.3,,0.3,,,,,,,,1.7,0.6,1.1,,0.6,11.1
27,12,1/11/2016,2:10,3430,7203.8,140.6,240.5,2.6,,,,4.5,3.1,0.9,4.8,,0.9,0.9,1.1,,0.6,5.7,0.6,6.0,,0.6,,,4.5,,,,,0.9,0.9,1.7,,,6.0
28,11,1/11/2016,5:05,3420,7159.7,119.6,,2.8,38.9,,1.9,1.9,3.8,,23.7,2.8,0.9,,3.8,5.7,,4.7,,3.8,,,,,8.5,,,0.9,,1.9,1.9,,,,1.9
29,11,1/11/2016,4:45,3420,7208,52.2,1.6,1.9,0.5,,0.1,1.9,0.1,,0.3,0.1,0.7,0.3,0.3,4.4,,,,0.1,,,,,0.7,,,0.1,,0.3,0.1,0.3,,0.3,
30,11,1/11/2016,6:40,3420,7215.8,35.1,,1.4,2.3,,,1.0,1.0,,,0.6,2.0,2.1,5.1,14.2,,0.4,,0.1,,,,,1.0,,,0.1,,0.8,,2.1,,,0.3
31,14,1/11/2016,20:10,3450,7211,177.4,162.7,0.8,89.5,,,15.9,,1.6,,1.6,0.2,1.0,4.9,4.9,,0.8,,1.4,,,,,0.2,,,0.2,,0.2,,0.2,,,2.8
32,15,1/12/2016,0:20,3500,7214,209.5,47.2,2.8,122.7,,,13.2,0.5,0.9,3.8,3.8,0.5,0.5,9.4,5.7,,0.5,,0.9,,,,,2.8,0.9,,0.9,,1.4,0.9,0.9,,0.5,2.8
33,15,1/12/2016,1:10,3500,7219.2,45.6,0.8,0.9,26.2,,0.8,2.9,0.2,0.4,,1.1,0.2,0.2,5.7,1.1,0.4,0.2,,0.2,,,0.2,,2.6,0.3,,,,0.1,0.4,0.7,,0.2,2.8
34,15,1/12/2016,2:20,3500,7225.3,19.0,0.1,0.1,1.8,,,0.6,0.3,0.1,,0.6,,0.4,1.1,1.7,,0.1,,,0.3,,0.1,,0.1,,,,,0.4,,0.8,,,1.7
35,15,1/12/2016,3:30,3500,7235.9,49.8,0.8,6.2,0.6,,,0.8,,1.1,,1.7,0.3,0.7,1.4,6.8,0.2,0.8,,,,12.4,,0.1,0.2,,,0.1,,0.5,,0.4,,,0.1
36,16,1/12/2016,18:20,3510,7220.9,100.8,5.1,2.7,15.9,,5.1,4.4,0.2,0.3,0.3,0.9,0.5,,5.6,,0.2,,,,,,,,,29.9,,,,0.3,0.3,1.3,,0.3,2.6
37,17,1/12/2016,22:45,3520,7230.6,386.3,16.1,1.1,259.0,,55.6,0.4,0.4,1.1,25.2,13.2,,,2.9,36.6,,1.1,,1.1,,0.4,,,,1.8,,0.4,,0.4,26.3,0.4,,0.4,35.1
38,17,1/12/2016,23:35,3520,7235.6,114.1,17.4,1.2,37.2,,3.7,27.3,,7.4,,0.3,1.2,0.9,7.4,2.5,,,0.3,0.6,,,,,5.0,,,,,0.6,0.6,0.9,,0.3,4.3
39,17,1/13/2016,0:45,3520,7241.7,132.7,,0.6,6.7,,,28.1,,2.2,,0.1,1.0,,5.6,21.4,0.6,0.4,,1.3,0.1,,0.1,,0.1,,,,,,0.1,0.6,,0.1,0.8
40,17,1/13/2016,3:35,3520,7259,456.4,6.8,1.8,12.5,,,9.1,,2.3,,0.4,1.1,0.1,9.1,15.9,,2.8,,1.0,,0.1,,,0.9,,,0.1,,0.4,0.1,0.7,,,0.7
41,18,1/13/2016,20:25,3530,7239.1,210.6,40.9,5.8,234.0,,16.8,1.5,2.9,5.8,,2.2,,,5.8,35.1,,3.7,,0.7,,0.7,,,,204.7,,0.7,,,40.9,6.6,,,11.0
42,19,1/14/2016,0:25,3540,7238.8,355.8,53.0,0.9,215.7,,30.3,3.8,,3.8,13.2,7.6,0.5,,7.6,3.8,0.5,,0.9,,,,,,7.6,8.5,,,0.5,,16.6,8.5,,0.9,28.4
43,19,1/14/2016,1:25,3540,7243.8,125.4,307.4,4.0,40.5,,,0.5,,20.2,,8.1,1.0,,4.0,8.1,,8.1,,13.1,,,,,,1.0,,0.5,,0.5,2.5,8.6,,,28.3
44,19,1/14/2016,2:15,3540,7250.1,58.2,,1.8,,,0.7,5.9,0.2,0.5,,0.2,,,1.4,5.0,0.2,,0.2,0.4,0.2,,0.2,,,,,,,,,0.7,,,0.9
45,19,1/14/2016,4:20,3540,7202.3,76.1,,1.6,1.1,,,8.5,,0.6,,0.1,0.1,,0.6,1.7,0.1,0.1,,,,,1.0,,,,,,,,,,,,0.1
46,19,1/14/2016,6:20,3540,7312.1,112.6,,1.0,,,1.7,1.4,,1.1,,,0.1,0.6,2.3,3.4,,73.3,,13.6,,,0.3,,,0.1,,0.6,,,0.1,,,,0.6
47,20,1/14/2016,17:10,3550,7241.8,135.7,4.2,0.3,19.6,,4.2,10.1,,,,0.3,,,,2.8,,0.3,,3.1,,,0.3,,,0.7,,,,,2.8,,,,1.7
48,21,1/14/2016,23:00,3600,7323,27.8,12.8,2.8,,,,0.3,0.3,0.6,,0.3,0.6,0.1,0.9,0.3,,0.1,,0.1,,0.1,,,38.5,,,0.1,0.1,0.3,,,,,0.2
49,21,1/15/2016,0:45,3600,7313.2,48.4,34.3,0.3,16.3,,0.4,0.6,0.1,,,,1.1,,1.1,0.6,,44.5,,5.6,,,,,,,,,,,0.6,,,,0.1
50,21,1/15/2016,2:30,3600,7259.8,47.7,,2.0,0.9,,,3.4,0.0,0.3,,,0.1,0.0,1.1,3.4,0.1,0.9,,2.3,0.1,,,,0.3,0.0,0.0,0.0,,0.0,,,,0.0,0.3
51,21,1/15/2016,3:40,3600,7253.6,47.0,,0.1,,,0.1,1.8,,1.4,,0.0,0.4,0.0,1.4,4.0,0.1,0.1,,0.4,,,0.8,,0.3,0.0,0.0,,,0.0,,0.1,,,
52,21,1/15/2016,4:45,3600,7248.8,383.9,27.3,1.4,28.5,,0.9,14.0,,2.3,4.0,2.0,0.9,0.3,3.4,11.4,0.3,,,2.0,,,0.9,,,1.1,,,0.3,0.9,11.1,51.3,,,8.5
53,23,1/16/2016,0:15,3620,7252.8,199.8,34.3,2.5,34.3,,8.6,0.7,,,2.5,,1.1,,8.6,2.9,4.6,,,1.1,,0.7,,,3.9,1.1,,0.7,,0.4,9.6,7.9,,,11.8
54,23,1/16/2016,1:05,3620,7358,138.1,5.9,0.5,49.2,,,9.5,,,0.9,0.9,0.5,,17.0,24.6,0.5,,,0.9,,,,,,,,,,,0.9,77.6,,0.5,2.8
55,23,1/16/2016,2:05,3620,7304.1,42.0,0.7,0.1,5.3,,,3.6,,,0.1,,0.2,0.1,1.8,3.2,0.2,,,,0.1,,,,,,,,,0.2,0.2,23.2,,0.4,0.4
56,23,1/16/2016,3:55,3620,7316.5,111.6,,0.2,6.2,,1.7,1.8,0.0,,0.0,,0.1,0.0,9.6,,0.1,,,,0.1,,1.7,,,,,,,0.1,,15.3,,,0.5
57,23,1/16/2016,6:35,3620,7334.2,120.6,2.8,0.8,6.2,,,4.5,,0.6,,,0.1,,1.7,,0.3,0.7,,0.8,,,0.3,,0.1,,0.3,,,0.3,,1.7,,,0.8
58,22,1/16/2016,22:25,3610,7251.5,233.6,3.5,1.2,19.6,,1.2,27.6,,,,,0.3,,5.8,12.7,3.5,,,4.6,,,,,0.9,,,0.3,,,8.1,6.9,,0.6,3.7
59,24,1/17/2016,1:35,3630,7300,511.1,78.3,1.9,85.8,,3.3,4.2,,,1.4,3.7,2.3,0.9,11.2,108.2,7.5,,,1.4,,2.3,,,,145.5,,0.5,0.5,,14.9,149.2,,1.9,5.1
62,25,1/17/2016,21:40,3640,7310.2,1973.7,,3.7,109.1,14.5,,,,,1.1,22.7,,0.6,2.6,81.9,,1.4,,0.9,,10.8,,,,1.1,,,1.4,,7.1,45.5,1.1,0.3,6.8
63,25,1/17/2016,22:30,3640,7315.7,588.5,3.8,0.5,22.6,0.3,,5.0,,,,,0.5,,5.8,6.3,2.4,0.2,,0.2,,0.2,1.4,,0.3,0.2,,,,0.2,3.8,13.8,,,28.4
64,25,1/17/2016,0:15,3640,7321.6,418.6,1.1,0.1,,,,6.1,,,,0.1,,,1.6,1.1,1.0,,,0.6,0.1,2.3,2.0,,,,,0.1,,,0.7,0.4,1.1,0.8,1.6
65,25,1/18/2016,2:35,3640,7336.6,259.8,,0.7,,,,10.4,,,,1.2,0.4,,4.0,,0.1,,,0.3,1.4,0.4,0.6,,,0.1,,,,,0.1,,,2.5,0.9
66,404,1/18/2016,21:40,3710,7330,544.2,,,98.9,4.1,3.4,2.7,,,39.2,,0.7,,,87.9,,2.1,,,,4.8,,,,11.0,,,2.7,2.1,8.9,1.4,7.6,0.7,26.8
67,404,1/18/2016,22:45,3710,7323.1,1249.0,11.4,,261.2,15.6,22.7,1.4,,,,34.1,,1.4,34.1,113.5,,,,11.4,1.4,272.5,,,,227.1,,1.4,11.4,1.4,45.4,193.0,4.3,,45.4
68,404,1/18/2016,23:55,3700,7314.2,1864.2,,5.9,448.4,73.7,,,,,11.8,,,,,495.5,,,,,2.9,38.3,,,,967.5,,,,,14.7,471.9,29.5,2.9,44.2
69,402,1/19/2016,1:25,3700,7312.7,373.3,,,66.7,1.7,,,,,1.1,0.6,0.6,,,71.1,,,,1.1,,2.2,,,0.6,111.1,,,0.6,,1.7,84.4,1.7,,1.7
70,402,1/19/2016,2:35,3700,7320.3,950.4,,1.7,,0.3,6.8,2.5,,,3.4,2.3,0.8,,24.9,79.2,,,,,0.3,0.3,0.8,,,3.7,,,,,9.3,119.9,,2.0,2.3
71,26,1/20/2016,20:21,3650,7613,1854.9,6.8,8.8,52.2,2.3,,0.6,,,1.1,4.5,0.1,,2.3,,,,,,,9.5,0.6,,1.1,,,,1.0,,2.4,338.3,3.4,1.7,3.4
72,26,1/20/2016,22:05,3650,7320.6,244.4,4.5,,,,,39.8,,,,,0.6,,5.7,,1.7,,,,,,0.6,,,,,,0.1,,0.4,2.3,,,2.3
73,26,1/20/2016,23:39,3650,7330.1,190.5,4.8,,1.1,,,11.3,,,,,0.3,,3.4,10.2,,,,,,,0.6,,,,,,,,1.1,5.7,0.9,0.3,7.4
74,402,1/21/2016,1:35,3700,7327.8,460.8,4.5,,109.0,,,1.1,,,0.3,4.5,,,6.8,6.8,,,,,,,0.3,,,20.1,,,,,7.7,4.5,0.6,0.6,0.6
75,27,1/21/2016,3:45,3700,7335.5,2413.9,,0.3,,,,6.9,,,0.6,7.6,,,7.6,7.6,0.9,,,,0.9,,,,,0.3,,0.3,,,6.9,7.6,,0.6,1.6
76,27,1/21/2016,4:45,3700,7340.6,708.5,,0.3,,,0.4,38.6,0.1,,0.3,0.9,,,5.7,9.1,,,,,0.1,,,,,,,,,,1.1,0.7,,0.4,2.0
77,27,1/21/2016,6:15,3700,7350,86.0,104.1,0.1,13.6,,0.6,3.0,,,0.0,,0.3,,7.9,1.1,0.1,27.9,,4.8,0.3,0.1,,,0.6,,,,,,0.3,1.1,0.1,,0.8
78,30,1/21/2016,22:45,3730,7340.7,233.6,165.6,1.4,38.6,,,6.2,,,2.0,,0.6,,11.3,,1.7,4.3,,1.4,0.6,3.4,,,,0.9,,,,,0.6,79.4,,,6.0
79,29,1/22/2016,0:15,3720,7350.7,205.5,98.8,0.1,27.2,,1.0,1.8,,,,0.3,0.1,,5.7,,0.6,96.5,,23.8,0.1,,,,21.6,0.9,,,,,0.7,,,,1.1
80,29,1/22/2016,1:58,3720,7343,548.4,0.4,0.2,0.2,,0.6,1.6,0.2,,1.6,,0.4,,3.3,4.9,0.4,0.2,,,1.4,,,,,,,0.4,,,3.3,57.1,,0.4,1.8
81,29,1/22/2016,3:15,3710,7340.8,2366.3,,0.3,113.5,6.5,,2.8,,,2.8,,,,6.8,22.7,0.6,,0.3,,,,,,0.3,7.7,,,,,12.5,,0.3,,10.8
82,32,1/22/2016,22:42,3750,7339.1,776.0,37.8,0.9,,,,1.9,,,1.2,,0.2,,,7.6,0.2,0.2,0.2,,0.2,,,,,,,0.2,0.2,,0.2,,,0.2,1.2
83,31,1/23/2016,0:25,3740,7342.7,767.7,18.3,0.4,6.1,1.5,,7.6,,,3.6,,,,,25.9,,,,,1.0,,,,0.6,,,,,,0.8,16.8,,0.4,4.2
84,31,1/23/2016,1:23,3740,7348,153.3,47.7,0.3,11.4,,2.3,6.0,,,,,0.6,,,,,4.1,,2.6,,,,,13.6,0.1,,,,,0.9,,,,11.9
85,31,1/23/2016,2:35,3740,7353.2,197.6,22.7,0.1,56.8,,0.3,10.2,1.4,,,,2.0,0.4,3.4,3.4,0.3,26.1,,37.5,,,,,,2.3,,0.1,,0.1,0.1,,,,1.0
86,34,1/23/2016,22:24,3810,7333.3,890.7,15.7,2.2,,,0.7,2.8,,,1.3,,,,1.7,,0.2,,0.4,,0.2,,,,3.5,,,0.2,,,,,,,3.0
87,33,1/24/2016,0:25,3800,7331.1,1266.4,7.5,0.3,,,0.9,15.1,,,8.8,1.3,,,,12.6,,,0.3,,1.6,,,,,,,,,,0.6,,,,3.8
88,33,1/24/2016,1:15,3800,7335.6,749.1,29.7,1.1,8.7,,1.7,0.4,,,2.8,1.1,,,3.5,5.2,,,0.2,0.4,0.4,,,,,,,,,,,,,,1.7
89,33,1/24/2016,6:31,3800,7302,63.3,10.7,0.4,22.0,,0.1,3.4,0.1,,,,0.4,0.6,1.7,1.1,0.1,13.0,,13.6,,,,,,0.3,,,,0.3,0.1,,,0.1,
90,33,1/24/2016,8:46,3800,7346.7,413.7,9.1,,3.4,,2.3,0.3,3.4,,,2.3,,,,6.8,0.3,0.7,,0.7,0.3,,,,0.4,,,,,,0.1,0.1,,,0.6
91,35,1/24/2016,23:45,3820,7332.9,1211.3,,,5.7,,,,1.4,,8.6,14.4,,,,34.4,,17.2,0.7,,,,,,0.7,0.7,,,11.5,,,5.7,,,269.8
92,35,1/25/2016,0:52,3820,7340.9,30.1,3249.4,0.7,0.7,,,,0.2,,,,,,,,,2.2,,1.4,,,,,,1.4,,,,,,,,,2.9
93,35,1/25/2016,2:10,3820,7349.4,1067.8,5.7,,11.5,,,,,,34.4,5.0,,,,,,7.9,,1.4,,5.0,,,,24.4,,,0.7,,2.2,,,0.7,30.9
94,35,1/25/2016,4:15,3820,7304.3,4790.0,5.7,,76.6,,,,,,34.1,,,,,,1.1,,,,6.0,,,,,0.4,,,0.4,1.1,0.4,2.8,,,65.3
95,35,1/25/2016,5:23,3820,7310,416.3,7.9,,,,1.1,8.9,,,0.3,,0.3,,,1.1,0.6,0.1,,1.1,0.9,,,,78.3,,,0.3,,0.4,0.3,0.1,,0.1,1.6
96,36,1/25/2016,16:30,3830,7334,382.5,,,10.0,0.2,1.4,0.4,,,0.4,48.7,0.2,,,,,47.3,,0.2,,,,,,2.9,0.2,,,,0.4,,,0.2,3.4
97,37,1/25/2016,12:16,3840,7402.9,442.4,7.9,,19.2,,0.4,4.5,,,,,1.3,,2.3,,,6.8,,12.4,0.1,,,,0.6,0.3,,,0.1,0.4,0.8,0.1,,,
98,37,1/26/2016,3:07,3840,7343.1,157.4,,0.2,5.3,,,1.9,0.2,,,,,,0.2,,,0.2,0.2,0.4,0.4,,,,0.6,2.6,,0.2,,,,,,,
99,37,1/26/2016,4:17,3840,7333.6,351.8,,1.6,2.5,,1.3,,,,0.6,0.3,,,,,,44.6,,0.9,,16.0,,,,4.1,,,,,,,,,4.7
100,37,1/26/2016,5:10,3840,7331.5,376.5,,0.1,,,,,,,50.9,,,,0.1,,,9.0,,,,19.2,,,,1.0,,,,,0.1,,,,0.7
101,38,1/26/2016,8:25,3850,7325.9,106.0,,,1.0,,,,,,,13.3,,,,,,17.8,,,,9.0,,,,1.3,0.3,,,,,,,,3.3
102,39,1/26/2016,23:08,3900,7322.5,30.1,0.2,,0.2,,0.2,,,,0.5,2.1,,,,,,0.2,1.6,,,0.4,,,,2.5,,,,,,1.3,,,3.4
103,39,1/27/2016,0:15,3900,7327.5,281.3,2.9,,,,1.4,,,,1.6,3.8,,,,,,99.8,,,,,,,,31.7,,,,,0.4,,,,2.2
104,39,2/1/2016,10:14,3900,7334.3,926.8,,0.5,7.6,,5.7,2.8,,,0.2,11.3,,,,,,58.6,,1.9,2.4,,,,,35.9,,,,,1.2,,,0.7,1.9
105,39,1/27/2016,9:06,3900,7355.5,117.7,,,3.4,,,1.6,,,,5.7,,,0.6,,,33.9,,5.7,,,,,3.0,0.3,,,,,,0.3,,,
106,40,1/27/2016,19:28,3910,7319,6.1,,,0.5,,,,,,,1.2,,,,,,2.4,,0.2,,0.2,,,,0.7,,,,,,,,,0.2
107,41,1/27/2016,23:48,3920,7316.2,10.5,,,,,,,,,,1.5,,,,,,1.1,0.8,,,,,,,,,,,,0.8,0.8,,,
108,41,1/28/2016,0:52,3920,7321.5,78.3,,0.1,0.1,,0.1,,,,0.3,0.4,,0.1,0.1,,,7.5,3.3,,,,,,0.6,2.0,,,,,,2.2,,,0.6
109,41,1/28/2016,2:05,3920,7327.9,933.6,,0.7,,,,2.8,,,1.1,0.7,,,,,,7.1,0.4,0.7,1.1,2.8,,,490.9,9.2,,,,,,0.4,,,5.7
110,41,1/28/2016,3:48,3920,7340.8,186.3,0.1,0.2,,,,0.9,,,0.1,0.2,,,0.5,,,,0.1,,0.1,,,,,,,0.0,,0.0,,,,,0.2
111,41,1/28/2016,6:00,3920,7356,28.8,1.4,,23.7,,0.2,0.6,,,,0.3,0.0,0.4,1.7,0.0,0.1,17.2,,8.5,,0.3,,,1.1,0.1,0.0,,,0.1,0.1,,,,
112,43,1/29/2016,1:10,3940,7404.6,68.4,0.9,0.0,2.6,,0.1,2.8,9.9,,,4.8,4.8,20.2,2.0,,0.1,,,2.0,0.1,,,,,0.1,,,,0.1,0.3,0.0,,,
113,43,1/29/2016,1:20,3940,7350.1,705.7,0.2,0.6,30.9,,0.6,12.2,3.3,,,1.6,,0.6,3.3,,,1.4,,1.2,3.0,,,,,0.4,,,,,,,,0.4,0.4
114,43,1/29/2016,5:40,3940,7337,1018.9,,0.9,,,,4.0,0.7,,1.9,,,,0.7,,,,0.2,,2.6,,,,,,,,,,,,,,1.2
115,43,1/29/2016,7:04,3940,7330.5,302.5,,0.3,0.4,,0.2,0.9,,,,,,,0.1,,,0.2,,0.7,0.3,,,,25.4,37.5,,,,,,,,,1.7
116,43,1/29/2016,7:56,3940,7325.2,9.4,,,,,,0.1,,,0.2,4.2,,,,,,0.4,1.2,,,1.1,,,,2.6,,,,,,,,,1.6
117,42,1/29/2016,20:44,3930,7319,5.3,,,,,,,,,0.6,0.2,,,,,,,0.4,,,,,,,0.2,,,,,,,,,2.8
118,45,1/30/2016,1:45,4000,7344.6,332.9,0.9,1.5,,,0.1,2.3,0.2,,0.2,,,,,,,,,,0.2,,,,,0.4,,,,,,,,0.1,7.1
119,45,1/30/2016,2:45,4000,7350,435.4,,0.5,0.5,,,6.2,,,,0.2,,,1.9,,,0.3,,,0.9,,,,,,,,,,0.2,,,,0.2
120,45,1/30/2016,4:00,4000,7356.4,61.9,7.9,0.0,2.8,,0.1,2.0,0.0,,0.0,,0.2,,0.6,,,0.3,,4.0,0.2,,,,0.2,0.1,,,0.0,0.2,0.0,,,,0.2
121,45,1/30/2016,5:55,4000,7409,156.5,3.4,,9.0,,0.4,5.6,0.3,,,0.3,0.7,0.6,5.6,0.1,0.1,32.1,,20.8,,,,,1.1,,,0.1,,0.3,0.3,0.3,,,
122,44,1/30/2016,16:55,3950,7326.6,13.7,,,,,,,,,,25.0,,,,,,0.1,,,,28.0,,,0.7,2.5,,,,0.1,,0.3,,,30.1
126,47,1/31/2016,13:55,4020,7347.7,2829.1,,5.3,,,,3.2,,,,,,,0.3,,,,,,0.2,,,,3.2,,,,0.2,,,,,0.3,
127,46,1/31/2016,20:00,4010,7349,472.4,,4.1,,,,11.3,,,0.1,,,,0.2,,0.1,,,,0.1,,,,,,,,,,0.1,,,0.1,0.1
128,39,2/1/2016,7:31,3900,7347.5,123.345813,3.119089524,,,,0.035444199,0.248109394,,,,,0.106332597,,1.134214372,,,,,0.141776797,0.035444199,,,,5.387518268,,,,,,,,,0.035444199,0.106332597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
