Año,Mes,Dia,Estacion,Latitud,Longitud,Fitoplancton,Skeletonema,Chaetoceros,Thalassiosira,Nitzschia,Asterionella,Coscinodiscus,Navicula,Protoperidinium,Ceratium,Biddulphia,Schroderella,Thalassiothrix,Rhizosolenia,,,,,,,,,
2013,1,5,1,-33.833,-71.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,5,2,-34.167,-72.033,18000,0,0,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,5,3,-34.000,-71.933,36000,0,0,0,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,6,4,-34.000,-72.017,36000,0,0,9000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,6,5,-34.000,-72.117,54000,0,0,0,54000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,6,6,-34.000,-72.233,45000,0,18000,0,0,0,0,0,9000,0,18000,0,0,0,,,,,,,,,
2013,1,7,7,-34.333,-71.983,72000,0,27000,0,36000,0,9000,0,0,0,0,0,0,0,,,,,,,,,
2013,1,7,8,-34.333,-72.133,54000,0,18000,9000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,7,9,-34.333,-72.250,54000,0,9000,27000,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,7,10,-34.500,-72.133,18000,0,0,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,7,11,-34.833,-72.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,8,12,-34.667,-72.083,36000,0,0,0,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,8,13,-34.667,-72.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,8,14,-34.667,-72.250,72000,0,0,0,72000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,8,15,-35.167,-72.333,144000,0,45000,0,99000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,9,16,-35.000,-72.233,36000,0,0,0,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,9,17,-35.000,-72.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,9,18,-35.000,-72.417,144000,0,27000,0,90000,0,0,27000,0,0,0,0,0,0,,,,,,,,,
2013,1,9,19,-35.000,-72.617,27000,0,0,0,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,9,20,-35.500,-72.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,21,-35.333,-72.500,54000,0,36000,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,22,-35.333,-72.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,23,-35.333,-72.683,45000,18000,0,27000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,24,-35.333,-72.983,27000,0,0,0,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,25,-35.833,-72.683,72000,0,72000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,26,-35.667,-72.633,45000,0,0,0,45000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,10,27,-35.667,-72.717,99000,0,0,63000,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,11,28,-35.667,-72.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,11,29,-35.667,-73.017,180000,0,90000,0,90000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,11,30,-35.667,-73.183,99000,0,99000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,12,31,-36.000,-73.000,72000,0,9000,36000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,12,32,-36.000,-72.883,18000,0,0,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,12,33,-36.000,-72.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,12,34,-36.167,-72.850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,12,35,-36.333,-73.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,36,-36.333,-73.267,54000,0,54000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,37,-36.333,-73.067,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,38,-36.333,-73.000,63000,0,0,9000,54000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,39,-36.333,-73.000,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,40,-36.500,-73.000,72000,0,72000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,13,41,-36.667,-73.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,14,42,-36.667,-73.250,27000,0,9000,0,9000,0,0,0,9000,0,0,0,0,0,,,,,,,,,
2013,1,14,43,-36.667,-73.350,99000,63000,0,0,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,14,44,-36.667,-73.600,126000,27000,27000,0,72000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,15,45,-36.833,-73.483,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,15,46,-36.833,-73.333,9000,0,0,9000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,47,-36.833,-73.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,48,-37.000,-73.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,49,-37.000,-73.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,50,-37.000,-73.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,51,-37.167,-73.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,52,-37.167,-73.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,16,53,-37.167,-73.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,17,54,-37.000,-73.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,17,57,-37.167,-73.683,27000,0,27000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,18,58,-37.500,-73.667,45000,0,45000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,18,59,-37.333,-73.717,81000,0,36000,0,27000,0,0,0,18000,0,0,0,0,0,,,,,,,,,
2013,1,18,60,-37.333,-73.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,18,61,-37.833,-73.650,18000,0,0,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,19,62,-37.667,-73.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,19,63,-37.667,-73.783,18000,0,18000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,19,64,-37.667,-73.883,27000,0,0,0,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,19,65,-38.167,-73.550,243000,0,72000,45000,126000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,20,66,-38.000,-73.517,594000,108000,162000,0,270000,0,0,0,0,0,0,54000,0,0,,,,,,,,,
2013,1,20,67,-38.000,-73.600,468000,0,81000,0,387000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,20,68,-38.000,-73.717,765000,171000,0,0,594000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,20,69,-38.000,-74.017,81000,0,0,0,81000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,20,70,-38.333,-73.533,342000,108000,54000,0,144000,0,0,0,0,0,0,36000,0,0,,,,,,,,,
2013,1,20,71,-38.333,-73.667,1701000,234000,162000,0,1251000,0,0,0,0,0,0,54000,0,0,,,,,,,,,
2013,1,21,72,-38.333,-73.800,1161000,72000,135000,27000,927000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,21,73,-38.333,-74.067,747000,36000,72000,0,639000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,21,74,-38.333,-74.150,324000,0,99000,0,207000,0,0,0,0,18000,0,0,0,0,,,,,,,,,
2013,1,21,75,-38.500,-73.550,297000,18000,81000,27000,171000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,21,76,-38.833,-73.417,189000,0,117000,0,72000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,21,77,-38.667,-74.033,747000,0,0,0,747000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,22,78,-38.667,-73.717,540000,81000,54000,36000,369000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,22,79,-38.667,-73.600,900000,90000,99000,18000,657000,0,0,0,0,0,0,36000,0,0,,,,,,,,,
2013,1,22,80,-38.667,-73.517,666000,198000,63000,0,369000,0,0,0,0,0,0,0,36000,0,,,,,,,,,
2013,1,22,81,-39.167,-73.300,441000,108000,90000,9000,234000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,23,82,-39.000,-72.367,234000,0,63000,9000,153000,0,0,9000,0,0,0,0,0,0,,,,,,,,,
2013,1,23,83,-39.000,-73.450,783000,63000,216000,0,477000,0,0,0,0,0,0,27000,0,0,,,,,,,,,
2013,1,23,84,-39.000,-73.400,1719000,27000,126000,36000,1485000,0,0,0,0,0,0,45000,0,0,,,,,,,,,
2013,1,23,85,-39.000,-73.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,23,86,-39.000,-73.917,9000,0,0,0,9000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,24,87,-39.333,-73.283,54000,36000,0,0,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,24,88,-39.333,-73.367,792000,243000,63000,18000,468000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,24,89,-39.333,-73.467,792000,63000,0,54000,675000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,24,92,-39.500,-73.300,1359000,432000,234000,81000,603000,0,0,9000,0,0,0,0,0,0,,,,,,,,,
2013,1,24,93,-39.667,-74.067,1161000,36000,621000,288000,198000,0,0,0,0,0,18000,0,0,0,,,,,,,,,
2013,1,25,94,-39.667,-73.833,1638000,0,963000,459000,171000,45000,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,25,95,-39.667,-73.617,1620000,288000,126000,36000,1017000,0,9000,9000,0,0,0,135000,0,0,,,,,,,,,
2013,1,25,96,-39.667,-73.517,1017000,198000,360000,0,459000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,25,97,-39.667,-73.417,936000,126000,342000,0,459000,0,0,9000,0,0,0,0,0,0,,,,,,,,,
2013,1,25,98,-38.833,-73.433,981000,162000,234000,90000,495000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,99,-40.000,-73.733,540000,27000,171000,171000,171000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,100,-40.000,-73.833,1440000,0,756000,432000,189000,63000,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,101,-40.000,-73.917,495000,0,279000,198000,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,102,-40.000,-74.150,36000,0,0,36000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,103,-40.167,-73.733,666000,0,288000,297000,81000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,26,104,-40.333,-74.300,738000,0,405000,333000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,27,105,-40.333,-73.983,882000,54000,576000,216000,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,27,106,-40.333,-73.867,666000,18000,477000,144000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,27,107,-40.333,-73.783,990000,162000,432000,306000,90000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,27,108,-40.500,-73.717,756000,63000,387000,243000,63000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,109,-40.667,-73.850,729000,0,396000,288000,45000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,110,-40.667,-73.933,603000,0,342000,234000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,111,-40.667,-74.050,648000,0,261000,315000,72000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,112,-40.667,-74.300,657000,0,279000,351000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,113,-40.833,-73.900,378000,0,180000,180000,18000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,28,114,-41.000,-73.967,225000,27000,27000,135000,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,29,115,-41.000,-74.050,90000,0,0,90000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,29,116,-41.000,-74.167,603000,0,63000,540000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,29,117,-41.000,-74.317,504000,0,0,504000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,29,118,-41.167,-73.933,486000,0,0,486000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,30,119,-41.333,-73.883,513000,0,0,513000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,30,120,-41.333,-73.983,378000,36000,0,342000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,30,121,-41.333,-73.083,387000,0,72000,288000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,30,122,-41.333,-74.317,333000,0,0,333000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,30,123,-41.333,-74.500,351000,0,0,351000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,31,124,-41.667,-74.350,387000,0,72000,279000,36000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,31,125,-41.667,-74.100,216000,0,108000,81000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,31,126,-41.667,-74.000,144000,0,90000,0,54000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,31,127,-41.667,-73.567,351000,0,153000,126000,72000,0,0,0,0,0,0,0,0,0,,,,,,,,,
2013,1,31,128,-41.500,-73.850,153000,0,63000,63000,27000,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
